date,close_price,miners_revenue,difficulty,hash_rate,median_confirmation_time,avg_block_size,n_unique_addresses,n_transactions_per_block,n_transactions,cost_per_transaction_percent
2023-10-23,29990.73,30814659.955034763,61030681983176.0,476314710.1590258,5.65,1.9158654585987251,660705.0,1922.1656050955414,301780.0,0.5953008741348612
2023-10-24,33059.98,28536795.17404676,61030681983176.0,382265308.79004604,12.625,1.5767352698412702,755204.0,2967.095238095238,373854.0,0.34118452672488914
2023-10-25,33902.65,32725349.07621698,61030681983176.0,436874638.6171956,10.025,1.5953741805555555,812853.0,3309.3680555555557,476549.0,0.6048982573633165
2023-10-26,34493.19,33251001.232997146,61030681983176.0,455077748.5595787,10.091666666666667,1.664096799999999,778594.0,2875.04,431256.0,0.6362002918763359
2023-10-27,34157.79,34005980.050704196,61030681983176.0,467213155.18783414,8.883333333333333,1.656251759740259,801082.0,2940.3636363636365,452816.0,0.6667206360426359
2023-10-28,33911.08,34772370.76564866,61030681983176.0,485416265.1302173,8.258333333333333,1.6691116437500007,819540.0,3527.39375,564383.0,1.211180268804821
2023-10-29,34090.68,30266520.889385495,61030681983176.0,415637677.0177486,9.433333333333334,1.6579092919708027,672955.0,2994.817518248175,410290.0,1.7532074344471609
2023-10-30,34532.39,35089903.5789379,62224673386140.1,482540025.495944,7.9125,1.692527955128205,779588.0,2969.24358974359,463202.0,0.7836002385214952
2023-10-31,34501.0,33982514.00176837,62463471666732.93,481286782.8761844,9.216666666666667,1.67983035483871,782062.0,2798.393548387097,433751.0,0.8940313444899503
2023-11-01,34662.16,32922837.157770928,62463471666732.97,462656326.7648482,7.7,1.5949489463087256,796206.0,3111.7046979865772,463644.0,0.6948848068488702
2023-11-02,35440.51,33351243.132835437,62463471666733.0,447130946.6720681,8.425,1.628937534722222,806444.0,2802.3680555555557,403541.0,0.7526002475538739
2023-11-03,34934.65,30526523.557337712,62463471666733.0,422290338.52361983,9.258333333333333,1.5985437500000004,789502.0,3326.1323529411766,452354.0,0.6300210540619202
2023-11-04,34736.55,40679663.2595844,62463471666732.86,521652771.1174128,7.891666666666667,1.6867411428571444,957847.0,4160.2202380952385,698917.0,2.389838920020087
2023-11-05,35088.05,38240754.28128319,62463471666732.88,506127391.02463263,10.533333333333333,1.7244486196319018,891683.0,4131.134969325153,673375.0,2.132838179055957
2023-11-06,35048.35,30426194.06464776,62463471666733.0,394344654.35661566,10.233333333333333,1.6756543622047244,725183.0,3459.2047244094488,439319.0,0.8574320010866183
2023-11-07,35035.12,32192116.297135763,62463471666733.0,412975110.4679518,11.2,1.5931909624060159,737771.0,3386.248120300752,450371.0,0.8061031091539885
2023-11-08,35436.28,37138019.602830954,62463471666732.97,462656326.7648482,9.016666666666667,1.6537917315436244,837044.0,3914.1006711409395,583201.0,0.7310439003117429
2023-11-09,35629.52,42386514.038143665,62463471666733.0,444025870.65351206,8.966666666666667,1.6635914965034964,832393.0,4010.2517482517483,573466.0,0.674118308373094
2023-11-10,36696.25,41589897.60578385,62463471666732.94,478181706.85762835,9.4,1.6213230194805193,848433.0,3401.5,523831.0,0.7477563112013047
2023-11-11,37321.65,42293293.39069208,62463471666732.9,496812162.9689646,9.525,1.661074224999999,894325.0,3922.05625,627529.0,1.7072663245053
2023-11-12,37140.27,44174930.492356926,63233946844737.766,506083624.1310116,7.333333333333333,1.7385089689440993,880975.0,4368.490683229814,703327.0,2.638754128593544
2023-11-13,37058.98,31884004.88571462,64678587803497.0,389037994.7160368,11.516666666666667,1.671679487603306,670301.0,3541.380165289256,428507.0,0.8284690525479782
2023-11-14,36497.35,34961118.48011874,64678587803497.0,443696225.37862045,11.0,1.6433546956521738,745056.0,3792.913043478261,523422.0,
2023-11-15,35545.97,38830543.630601875,64678587803496.945,475848125.7683755,8.466666666666667,1.6202989459459454,770577.0,3796.9054054054054,561942.0,0.9464829384397676
2023-11-16,37891.48,45968659.957687706,64678587803496.945,475848125.7683755,9.5,1.6810763040540544,813390.0,4246.121621621622,628426.0,1.0160772835564296
2023-11-17,36155.5,43669781.8707609,64678587803496.93,482278505.8463265,9.741666666666667,1.621066933333334,760684.0,3577.6266666666666,536644.0,1.046860209564512
2023-11-18,36624.3,46206459.47486679,64678587803496.94,479063315.80735093,10.766666666666667,1.6871649798657717,748237.0,4223.261744966443,629266.0,2.8584709512901676
2023-11-19,36588.13,46808749.511597805,64678587803496.82,546582306.6258367,8.016666666666667,1.7211151941176464,806772.0,4179.876470588235,710579.0,3.073093382203046
2023-11-20,37396.17,45344546.355345115,64678587803496.84,533721546.46993476,8.683333333333334,1.7177419397590374,804527.0,3859.4578313253014,640670.0,1.082220676133287
2023-11-21,37479.96,41691019.301160336,64678587803496.92,488708885.9242776,8.625,1.8117768881578944,779702.0,3438.1118421052633,522593.0,0.830817098712812
2023-11-22,35808.95,38112934.25756094,64678587803496.984,456556985.5345224,9.95,1.6735000352112672,777966.0,3773.443661971831,535829.0,0.7573694120655117
2023-11-23,37427.42,42565103.66364608,64678587803496.95,472632935.72940004,11.0,1.6712810816326533,771284.0,3998.0,587706.0,1.1237120697297653
2023-11-24,37297.56,43175803.346235916,64678587803496.836,540151926.5478858,8.649999999999999,1.751372083333334,841609.0,3713.6785714285716,623898.0,0.9091697349998424
2023-11-25,37720.5,41000040.53691879,64678587803496.88,511215216.1971062,7.966666666666667,1.8285292389937093,861295.0,3881.9748427672957,617234.0,1.5017865926720504
2023-11-26,37800.94,37350394.614752516,67912869716769.22,492891191.48160595,8.216666666666667,1.8263538082191775,817987.0,3962.219178082192,578484.0,1.8086735691431657
